metric,value,count,denominator,rate,note
Full set,253,253,,,conservative v2 cases
Actionable coverage,76/253,76,253,0.300395,hard-rule terminal recommendations
Abstention,177/253,177,253,0.699605,not an error; critical fact missing
Schema valid,253/253,253,253,1.000000,recommendation schema
Guideline anchors,253/253,253,253,1.000000,anchors bound to graph edge/node
Reasoning paths,253/253,253,253,1.000000,actual graph execution trace
Decision paths,253/253,253,253,1.000000,visited transition path
Missing density abstention,104/253,104,253,0.411067,density is not defaulted to solid
Missing size abstention,66/253,66,253,0.260870,has-size probability is not size_mm
No structured nodule abstention,7/253,7,253,0.027668,no reliable structured nodule candidate
Conflict rows,425,425,,,150 cases affected
High-risk density conflicts,25,25,425,0.058824,manual audit before aggregation
Official aggregation adopted,no,,,,same-case and dominant size-first remain appendix diagnostics
Low-risk appendix actionable delta,3,,,,confidence-gated same-note union diagnostic only
Learned performance metric,not_reported,,,,CDSG-generated strong-silver labels are not fair labels for CDSG accuracy/F1
