area,expected_from_opening_proposal,current_repo_status,gap_severity,keep_or_mvp,recommended_next_step,evidence
任务定义,"神经符号临床推理智能体，不是分类或自由生成","现有可运行部分主要是 flat Lung-RADS rule baseline","high","keep","后续代码命名和论文叙事统一改为 CDSG-constrained agent","docs/刘俊希-开题报告.docx; reports/thesis_chapter3_draft.md"
结构化事实输入,"消费模块1/2结构化事实和 evidence span","已有 radiology_fact_schema、smoking_eligibility_schema、case_bundle_schema","low","keep","冻结模块2到模块3导出字段，保持 case_bundle 唯一入口","schemas/*.json; src/assemblers/case_bundle_assembler.py"
准入语义鸿沟,"处理重度吸烟等定性描述与包年阈值的鸿沟","smoking baseline 可输出 eligibility/evidence_quality，但定量包年稀疏","medium","mvp","第一轮只作为辅助风险属性；soft match 用于高危语义，不阻塞 Lung-RADS hard-only","reports/schema_design.md; outputs/phase4/results/smoking_metrics_social_history_plus_fallback.json"
事实库高保真抽取,"事实库、span index、pointer copy 避免数值幻觉","当前是 regex/PLM 事实抽取与共享 size parser，不是完整 Fact Bank","medium","mvp","模块3先消费现有 schema；论文中不要宣称已实现完整 pointer fact bank","reports/thesis_chapter3_draft.md; outputs/phase5_1/gold_eval_metrics.json"
CDSG 图结构,"指南形式化为状态节点和逻辑转移边","未发现 guideline_graph、CDSG schema 或图定义","critical","keep","新建 guideline_graph_schema 和 Lung-RADS v2022 graph JSON/YAML","rg guideline_graph/CDSG"
Graph Executor,"Agent 在图谱上受限路径推理","未发现 graph executor，实现只有嵌套 IF-THEN","critical","keep","实现 CPU-only graph walker，并输出节点/边 trajectory","src/rules/lung_rads_engine.py"
符号硬匹配,"size、density、location 等明确事实优先布尔硬匹配","flat engine 已支持 size/density/change 等硬规则","medium","keep","迁移现有规则到 CDSG edge conditions，并做等价性测试","tests/rules/test_lung_rads_engine.py"
语义软匹配,"硬匹配失败且存在语义鸿沟时用 vector/NLI/冻结 LLM","未发现 soft match、vector DB、NLI 组件","high","mvp","第一轮可延后；先定义接口和禁止越权规则","docs/module3_graph_agent_execution_plan.md"
模板报告生成,"基于完整轨迹做槽位填充，不让 LLM 自由生成建议","现有输出是结构化 JSON；无正式医生报告 renderer","medium","mvp","先输出结构化报告；医生文本 renderer 作为增强项","schemas/recommendation_schema.json"
指南锚点,"每一步决策有指南原文条款锚点","flat engine 有字符串 guideline_anchor，但不是节点/边级条款 ID","medium","keep","为每个 CDSG node/edge 增加 anchor_id/source/condition","src/rules/lung_rads_engine.py"
missing_info 和 abstention,"信息不足时停止自动推理并提示补充","已有 insufficient_data 和 missing_information，但缺正式 abstention 协议","medium","keep","扩展 recommendation schema 增加 abstention.status/reason","outputs/phase4/results/recommendation_metrics_structured_rule.json"
report-intent router,"区分 screening/incidental/diagnostic_oncology/uncertain","当前默认 Lung-RADS_v2022，无场景路由","high","mvp","第一轮可先 Lung-RADS-only；随后用 exam_name/sections/recommendation_cue 实现 router","docs/module3_graph_agent_execution_plan.md"
多指南支持,"Lung-RADS/Fleischner/中国指南可选择","当前只有 Lung-RADS v2022 minimal","high","mvp","先完成 Lung-RADS CDSG，再补 Fleischner incidental 图","src/rules/lung_rads_engine.py"
输出 schema,"recommendation、risk/category、reasoning_path、guideline_anchor、missing_info、confidence/evidence_quality","已有 recommendation_schema，但缺 intent、graph_trace、confidence/evidence_quality 统一结构","medium","keep","扩展 schema 或新增 graph_agent_recommendation_schema","schemas/recommendation_schema.json"
主实验标签,"case-level 随访建议 gold 或强银标准","Phase 4 recommendation_eval 是 weak/silver manifest，无 expert gold","critical","keep","抽样构建 100-200 条人工 gold；保留 rule-derived silver","outputs/phase4/manifests/recommendation_eval.json"
模块3 split,"可评价 train/val/test split","Phase 5 有模块2 subject-disjoint split；case_bundle split 多为 unlabeled","high","keep","构建 case-level module3 split，避免 subject overlap","outputs/phase5/datasets/split_manifest.json"
评价指标,"recommendation accuracy、Macro-F1、guideline concordance、path validity、harmful/under-follow-up、grounding、schema","当前只有 schema_valid、anchor_presence、reasoning_path_nonempty、insufficient_rate 等基础指标","high","keep","扩展 src/eval/recommendation_metrics.py 或新增 module3_metrics.py","src/eval/recommendation_metrics.py"
LLM-only baseline,"本地 LLM guideline prompt 直接输出结构化建议","未实现；本轮也禁止跑 GPU","medium","mvp","先保留设计；等 CDSG hard-only 完成后再评估是否补跑","reports/final_experiment_redesign_plan.md"
RAG baseline,"指南检索增强后 LLM 输出建议","未实现；缺 guideline chunks、vector index、本地 LLM 调用","medium","mvp","先作为可选外部 baseline，不阻塞 MVP","reports/final_experiment_redesign_plan.md"
MWS-CFE/CDSG 主方法,"模块2 MWS-CFE 事实 + CDSG constrained agent","模块2结果存在，但缺正式导出到 radiology_fact_schema 的 adapter","high","keep","补 predicted facts -> case_bundle 薄适配层，不重跑训练","outputs/phase5_1/gold_eval_metrics.json"
论文叙事,"强调 CDSG、hard+soft、轨迹循证报告","当前 chapter3 草稿偏向规则决策树","medium","keep","在实现前先修订章节定义，避免与开题报告不一致","reports/thesis_chapter3_draft.md"
模块3目录,"有清晰 module3/phaseA3 代码和输出边界","scripts/phaseA3、scripts/module3、outputs/module3 均缺失；本轮只创建 outputs/phaseA3/tables","medium","mvp","新建 src/module3 与 configs/module3，脚本放 scripts/phaseA3","find scripts/phaseA3 scripts/module3 outputs/module3"
